player_id,season_id,appearances,wins,losses,goals,goals_conceded,assists,passes,crosses,blocked_shots,clearance,interceptions
1,22,10,6,1,0,7,0,292,0,0,0,0
2,22,5,4,0,0,4,0,126,0,0,0,0
3,22,15,10,1,1,11,1,1120,0,2,26,9
4,22,15,10,1,1,11,1,1141,0,0,0,0
5,22,13,9,1,1,7,0,2727,0,8,6,9
6,22,14,9,1,1,11,1,737,16,0,24,10
7,22,13,9,1,0,9,0,662,1,4,19,11
8,22,6,4,0,0,3,0,162,3,0,11,0
9,22,0,0,0,0,0,0,0,0,0,0,0
10,22,1,1,0,0,0,0,45,0,0,1,0
11,22,0,0,0,0,0,0,0,0,0,0,0
12,22,14,9,1,5,0,6,536,75,8,5,6
13,22,12,8,0,4,0,1,546,27,7,1,3
14,22,15,10,1,2,0,1,925,4,7,24,23
15,22,11,7,1,3,0,1,191,31,5,1,5
16,22,13,9,1,2,0,2,387,65,7,1,3
17,22,15,10,1,3,0,1,318,5,5,5,7
18,22,11,7,1,0,0,0,317,3,2,2,2
19,22,14,10,1,5,0,0,152,0,6,3,3
20,22,10,6,0,2,0,1,183,3,4,3,5
